"Y" "X1" "X2" "X3" "X4" "X5"
4.8 10.24 36.3 195 163 170
4.6 7.84 7.1 60 50 45
4 9.2 17.5 298 244 236
4.5 9.31 30.2 170 124 173
7.8 12.07 52.4 157 115 76
4.4 9.66 9.9 83 66 95
4.4 10.02 8.3 265 191 202
5.7 11.2 34.5 180 134 151
3.7 8.48 12.1 166 145 118
2.7 8.34 8.1 107 82 54
4.8 9.84 12 600 468 497
4.1 7.13 9 279 207 241
1.8 7.67 2.5 106 93 35
4.3 9.42 24.8 508 421 528
5.3 8.15 12.3 99 55 71
1.4 7.14 4.1 115 90 19
4.9 9.89 17.7 167 113 106
5.6 11.48 20.3 252 207 251
4.2 9.06 6.9 134 103 125
5.3 11.77 17.3 196 164 165
4.3 8.67 24.4 182 130 118
5.6 8.95 18.9 147 53 148
4.5 10.05 36.7 184 144 151
4.6 9.68 16.7 186 151 129
4.3 8.3 6.8 167 105 59
5.5 8.37 15.1 115 96 88
3.4 10.42 8 119 67 64
4.5 8.28 26 108 84 73
4.1 10.47 5.7 196 168 153
4.4 8.88 14.1 237 165 182
5.9 17.94 26.4 835 791 407
6.2 10.15 16.4 568 452 371
6.5 19.56 17.2 306 273 172
2 8.93 6.2 95 59 56
5 11.03 19.7 318 270 335
5.8 9.5 42 98 68 46
4.3 9.23 11.6 620 413 420
4.1 9.05 20.5 195 127 112
6.3 8.84 29.6 85 59 66
2.3 7.95 4.6 163 128 93
4.9 11.07 28.5 768 591 656
3.9 8.28 12 546 413 436
4.4 7.7 12.2 129 85 136
4.3 7.65 16.4 318 265 314
5.6 10.12 14.9 362 313 264
3.7 7.14 2.6 70 37 35
3.1 8.63 8.4 76 39 44
4.7 10.72 23.2 113 90 107
3.8 8.66 6.8 246 178 177
5.5 7.63 11.6 197 109 110
4.2 9 14.6 72 61 38
1.6 8.82 3.8 80 51 52
3.1 9.41 20.6 29 20 22
4.2 7.53 23.1 95 47 49
3.9 11.15 7.7 281 217 199
2.1 8.02 3.8 91 44 32
5.5 11.08 18.6 387 326 405
2 7.08 12.3 87 52 57
4.7 8.77 5.2 143 85 87
2.9 7.91 11.9 477 349 188
4.9 10.23 9.9 752 595 446
5.1 10.3 27.8 175 113 73
2.9 10.79 2.6 461 320 196
5.7 11.18 18.8 595 546 392
4.1 9.35 15.9 833 547 519
4.5 6.7 13 76 51 79
3.7 8.58 7.4 304 248 218
2.7 7.14 13.1 92 40 50
2.9 8.86 9.5 100 65 53
4.2 8.88 10.1 305 238 197
4.8 12.01 10.8 298 237 115
2.8 9.97 16.5 90 69 42
2.6 9.76 6.9 64 47 55
3.4 8.45 12.9 235 143 124
5.4 7.93 7.5 68 42 49
4.6 10.16 8.4 831 581 629
7.6 11.41 16.6 535 330 273
5 10.33 21.2 266 181 149
2.9 10.8 1.6 130 69 62
2.5 8.54 27 98 57 75
6.4 11.62 25.5 133 113 101
7.7 12.78 46 322 252 349
4.4 11.65 18.6 248 217 189
1.7 8.09 7.6 92 61 61
